cluster	tablet	objectId	signs
1	150824	P325064	1(N01) 1(N08) 1(N14) 1(N24) 1(N51) 1(N52) 1(N57) 2(N01) 2(N14) 2(N39~a) 2(N57) 3(N14) 3(N39~a) 4(N01) 4(N14) 5(N57) 8(N01) DUB~a DUG~a DUG~c E2~a GA2~a1 GAR GIBIL GU7 HASZHUR HI@g~a KASZ~a MA MU NI~a RU SIG2~a2 SUHUR SU~a SZA SZU2 TUG2~b UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
1	152479	P005160	1(N01) 1(N05) 1(N08) 1(N14) 1(N20) 1(N24) 1(N25) 1(N34) 1(N39~a) 1(N42~a) 1(N51) 1(N52) 1(N57) 2(N01) 2(N03) 2(N05) 2(N14) 2(N20) 2(N42~a) 2(N57) 3(N14) 3(N42~a) 4(N01) 4(N05) 4(N14) 4(N42~a) 5(N57) 6(N01) 8(N01) DUB~a DUG~a DUG~c E2~a GA2~a1 GAR GESZTU~c5 GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU NI~a RU SIG2~a3 SUHUR SU~a SZA SZU2 UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
1	152489	P005170	1(N01) 1(N03) 1(N05) 1(N14) 1(N20) 1(N25) 1(N28~c) 1(N34) 1(N40) 1(N42~a) 1(N51) 1(N52) 2(N01) 2(N05) 2(N20) 2(N42~a) 3(N01) 3(N05) 3(N14) 3(N40) 3(N42~a) 3(N57) 4(N01) 4(N14) 4(N20) 5(N01) 5(N57) 6(N01) 8(N01) BAR DUB~a DUG~a E2~a EN~a GA2~a1 GAR GESZTU~c5 GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU SIG2~b SUHUR SU~a SZA SZU2 UDU~a ZATU644~a ZATU714 ZATU753
1	152493	P005174	1(N01) 1(N25) 1(N28~c) 2(N01) 2(N03) 2(N42~a) 3(N20) 4(N14) 4(N42~a) 5(N01) 5(N05) AB~a DUG~a ENGIZ EN~a GA2~a1 GAR GESZTU~c5 GU7 HI@g~a KASZ~a KID~a MA MAR~a MU NI~a RU SZAGAN UDU~a ZATU714 ZATU735~b
1	152494	P005175	1(N01) 1(N05) 1(N14) 1(N20) 1(N24) 1(N24~a) 1(N25) 1(N28~c) 1(N39~a) 1(N42~a) 1(N51) 1(N57) 2(N01) 2(N05) 2(N14) 2(N40) 2(N42~a) 3(N01) 3(N14) 3(N21) 3(N42~a) 4(N05) 4(N42~a) 5(N01) 5(N14) 5(N57) AB~a DU8~c DUB~a DUG~a E2~a GAR GIBIL GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MASZ ME~a MU MUSZEN N(N57) NI~a RU SILA3~a SUHUR SU~a SZA SZA@g SZITA~a1 SZU2 UDU~a ZATU644~a ZATU714 ZATU753
1	152495	P005176	1(N01) 1(N03) 1(N05) 1(N14) 1(N25) 1(N42~a) 2(N05) 2(N14) 2(N20) 2(N40) 2(N42~a) 2(N51) 2(N52) 3(N01) 3(N14) 3(N57) 4(N01) 4(N14) 4(N20) 5(N01) 7(N01) DUG~a DUG~b DUG~c GAR GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a MA ME~a MU NI~a RU SUHUR SU~a SZU2 UDU~a ZATU644~a ZATU714 ZATU753
1	152497	P005178	1(N01) 1(N03) 1(N05) 1(N20) 1(N24) 1(N25) 1(N28) 1(N28~c) 1(N30A~c) 1(N34) 1(N39~a) 1(N42~a) 1(N51) 1(N52) 2(N01) 2(N05) 2(N14) 2(N34) 2(N40) 2(N42~a) 3(N01) 3(N14) 3(N20) 3(N42~a) 4(N01) 4(N05) 4(N14) 4(N42~a) 5(N01) 5(N05) 6(N01) 7(N01) DUB~a DUG~a E2~a GA2~a1 GAR GESZTU~c5 GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU NI~a RU SUHUR SU~a SZA SZITA~a1 SZU2 UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
1	152520	P005202	1(N01) 1(N25) 1(N30A~c) 1(N52) 1(N57) 2(N01) 2(N05) 2(N42~a) 2(N57) 4(N01) DUB~a DUG~a DUG~c E2~a GIBIL GUG2 HI@g~a KASZ~a NI~a RU SU~a SZU2 ZATU714 ZATU753
1	152545	P005227	1(N01) 1(N05) 1(N25) 1(N27) 1(N34) 1(N52) 1(N57) 2(N01) 2(N03) 2(N42~a) 3(N01) 3(N20) 7(N01) AB~a ENGIZ GA2~a1 GESZTU~c5 GIBIL HASZHUR MA ME~a NI~a RU SUHUR SU~a SZAGAN SZU2 UDU~a ZATU644~a ZATU735~b
1	152564	P005246	1(N01) 1(N14) 2(N01) 2(N52) 3(N14) 3(N21) 3(N57) 4(N01) 4(N14) 6(N01) AB~a AMAR BAR DUG~a DUG~b EN~a GA~a GIBIL GU7 HASZHUR KASZ~c MA ME~a PA~a SUHUR SU~a SZU2 UDU~a ZATU644~a ZATU753
